page_name,page_age_days,revisions_count_mean,revisions_count_std,revisions_count_ar,revisions_count_max,revisions_count_min,revisions_count_range,revisions_count_avg_last_week,revisions_count_avg_all_period,contributors_count_mean,contributors_count_std,contributors_count_ar,contributors_count_max,contributors_count_min,contributors_count_range,contributors_count_avg_last_week,contributors_count_avg_all_period,num_of_views_mean,num_of_views_std,num_of_views_ar,num_of_views_max,num_of_views_min,num_of_views_range,num_of_views_avg_last_week,num_of_views_avg_all_period,incoming_links_mean,outcoming_links_mean,outcoming_links_std,outcoming_links_ar,outcoming_links_max,outcoming_links_min,outcoming_links_range,outcoming_links_avg_last_week,outcoming_links_avg_all_period,translated
Дойренці,795,5.0,0.0,0.0,5.0,5.0,0.0,5.0,5.0,4.0,0.0,0.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,62.0,0.0,0.0,62.0,62.0,0.0,62.0,62.0,1
Дождевиця,794,5.0,0.0,0.0,5.0,5.0,0.0,5.0,5.0,4.0,0.0,0.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,99.0,0.0,0.0,99.0,99.0,0.0,99.0,99.0,1
Обжинки,990,23.7,3.74299345444258,0.9931010242420194,30.0,20.0,10.0,29.571428571428573,23.7,4.0,1.2909944487358056,0.9876897072240862,6.0,3.0,3.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,13.5,4.5,-0.7966101882655172,18.0,9.0,9.0,14.142857142857142,13.5,1
Драбів,887,42.03333333333333,0.8359957469322967,0.9796001424079581,43.0,41.0,2.0,43.0,42.03333333333333,18.033333333333335,0.8359957469322967,0.9796001734233902,19.0,17.0,2.0,19.0,18.033333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,92.5,88.5,-0.7966100895799751,181.0,4.0,177.0,105.14285714285714,92.5,1
Драганиця,750,8.0,0.0,0.0,8.0,8.0,0.0,8.0,8.0,6.0,0.0,0.0,6.0,6.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,39.0,0.0,0.0,39.0,39.0,0.0,39.0,39.0,1
Драгодан,792,8.0,0.0,0.0,8.0,8.0,0.0,8.0,8.0,5.0,0.0,0.0,5.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,38.0,0.0,0.0,38.0,38.0,0.0,38.0,38.0,1
Драгоїл,745,5.0,0.0,0.0,5.0,5.0,0.0,5.0,5.0,5.0,0.0,0.0,5.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,74.0,0.0,0.0,74.0,74.0,0.0,74.0,74.0,1
Драгойчинці,794,8.0,0.0,0.0,8.0,8.0,0.0,8.0,8.0,5.0,0.0,0.0,5.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,46.0,0.0,0.0,46.0,46.0,0.0,46.0,46.0,1
Дрангово_(Кирджалійська_область),787,4.0,0.0,0.0,4.0,4.0,0.0,4.0,4.0,4.0,0.0,0.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,100.0,0.0,0.0,100.0,100.0,0.0,100.0,100.0,1
Драниця,2230,14.0,0.0,0.0,14.0,14.0,0.0,14.0,14.0,10.0,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,99.5,29.5,-0.7966102384603723,129.0,70.0,59.0,95.28571428571429,99.5,1
Бурова_лебідка,970,5.266666666666667,0.44221663871405326,0.9223845997192707,6.0,5.0,1.0,6.0,5.266666666666667,3.2666666666666666,0.44221663871405326,0.9223846578220657,4.0,3.0,1.0,4.0,3.2666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,15.0,0.0,0.0,15.0,15.0,0.0,15.0,15.0,1
Дреатин,745,5.0,0.0,0.0,5.0,5.0,0.0,5.0,5.0,5.0,0.0,0.0,5.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,73.0,0.0,0.0,73.0,73.0,0.0,73.0,73.0,1
Дренов,795,5.0,0.0,0.0,5.0,5.0,0.0,5.0,5.0,4.0,0.0,0.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,61.0,0.0,0.0,61.0,61.0,0.0,61.0,61.0,1
Дреновець,1068,5.0,0.0,0.0,5.0,5.0,0.0,5.0,5.0,5.0,0.0,0.0,5.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,39.0,0.0,0.0,39.0,39.0,0.0,39.0,39.0,1
Деревляни,36,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,371.0,275.5,269.5,-0.7966101854410245,545.0,6.0,539.0,314.0,275.5,1
Дрофине,2793,16.0,0.0,0.0,16.0,16.0,0.0,16.0,16.0,13.0,0.0,0.0,13.0,13.0,0.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,109.5,25.5,-0.7966102454513254,135.0,84.0,51.0,105.85714285714286,109.5,1
Дропла,742,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,0.0,10.0,10.0,0.0,10.0,10.0,1
Друмче,754,5.0,0.0,0.0,5.0,5.0,0.0,5.0,5.0,5.0,0.0,0.0,5.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,75.0,0.0,0.0,75.0,75.0,0.0,75.0,75.0,1
Друмохар,793,5.0,0.0,0.0,5.0,5.0,0.0,5.0,5.0,4.0,0.0,0.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,50.0,0.0,0.0,50.0,50.0,0.0,50.0,50.0,1
Єпархія_Друзиліани,670,3.0,0.0,0.0,3.0,3.0,0.0,3.0,3.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,14.0,-0.7966101761282453,29.0,1.0,28.0,17.0,15.0,1
Друя,423,12.0,0.0,0.0,12.0,12.0,0.0,12.0,12.0,4.0,0.0,0.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,141.0,0.0,0.0,141.0,141.0,0.0,141.0,141.0,1
Дружево,745,5.0,0.0,0.0,5.0,5.0,0.0,5.0,5.0,5.0,0.0,0.0,5.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,78.0,0.0,0.0,78.0,78.0,0.0,78.0,78.0,1
Дружинці,787,5.0,0.0,0.0,5.0,5.0,0.0,5.0,5.0,5.0,0.0,0.0,5.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,99.0,0.0,0.0,99.0,99.0,0.0,99.0,99.0,1
Дружківка,813,13.0,0.0,0.0,13.0,13.0,0.0,13.0,13.0,9.0,0.0,0.0,9.0,9.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,581.0,119.75,194.18853596440755,-0.003079032748597522,456.0,1.0,455.0,71.71428571428571,119.75,1
Dryocampa,77,15.0,0.0,0.0,15.0,15.0,0.0,15.0,15.0,3.0,0.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,19.5,11.5,-0.7966101413188876,31.0,8.0,23.0,21.142857142857142,19.5,1
DSQUARED²,1672,14.0,0.0,0.0,14.0,14.0,0.0,14.0,14.0,8.0,0.0,0.0,8.0,8.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,82.0,0.0,0.0,82.0,82.0,0.0,82.0,82.0,1
Дубаневичі,2391,30.0,0.0,0.0,30.0,30.0,0.0,30.0,30.0,16.0,0.0,0.0,16.0,16.0,0.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,123.5,5.5,-0.7966102136708237,129.0,118.0,11.0,122.71428571428571,123.5,1
Дубас,1461,3.0,0.0,0.0,3.0,3.0,0.0,3.0,3.0,3.0,0.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,18.0,0.0,0.0,18.0,18.0,0.0,18.0,18.0,1
Дубно,274,13.0,0.0,0.0,13.0,13.0,0.0,13.0,13.0,6.0,0.0,0.0,6.0,6.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,892.0,222.66666666666666,289.0124949240469,-0.18166260464409215,631.0,3.0,628.0,281.0,222.66666666666666,1
Дубовець,2019,5.0,0.0,0.0,5.0,5.0,0.0,5.0,5.0,5.0,0.0,0.0,5.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,52.0,0.0,0.0,52.0,52.0,0.0,52.0,52.0,1
Дубовський,2823,8.0,0.0,0.0,8.0,8.0,0.0,8.0,8.0,4.0,0.0,0.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,15.0,0.0,0.0,15.0,15.0,0.0,15.0,15.0,1
Дубравлаг,1200,25.0,0.0,0.0,25.0,25.0,0.0,25.0,25.0,6.0,0.0,0.0,6.0,6.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,387.0,256.0,0.0,0.0,256.0,256.0,0.0,256.0,256.0,1
Дубров,2543,2.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,0.0,10.0,10.0,0.0,10.0,10.0,1
